T TK DISP VOLM LCB VCB LCF TPC MTC KML KMT
3.00 3.018 16828.3 16300.5 119.815 1.535 119.08 59.3 767.0 997.442 28.491
3.05 3.068 17124.9 16589.5 119.802 1.561 119.05 59.4 769.1 982.831 28.099
3.10 3.118 17421.9 16878.8 119.789 1.587 119.03 59.4 771.1 968.668 27.720
3.15 3.168 17719.2 17168.4 119.776 1.613 119.00 59.5 773.1 954.930 27.353
3.20 3.218 18016.8 17458.3 119.762 1.638 118.98 59.5 775.1 941.605 26.999
3.25 3.268 18314.7 17748.5 119.749 1.664 118.95 59.6 777.0 928.672 26.656
3.30 3.318 18612.9 18039.0 119.736 1.690 118.93 59.7 778.9 916.109 26.324
3.35 3.368 18911.4 18329.8 119.723 1.716 118.90 59.7 780.9 903.911 26.003
3.40 3.418 19210.3 18621.0 119.710 1.742 118.88 59.8 782.8 892.052 25.692
3.45 3.468 19509.4 18912.4 119.697 1.768 118.85 59.8 784.6 880.518 25.390
3.50 3.518 19808.8 19204.0 119.684 1.793 118.82 59.9 786.5 869.308 25.098
3.55 3.568 20108.5 19496.0 119.671 1.819 118.80 60.0 788.3 858.398 24.814
3.60 3.618 20408.5 19788.3 119.658 1.845 118.77 60.0 790.1 847.778 24.539
3.65 3.668 20708.8 20080.8 119.645 1.871 118.74 60.1 791.9 837.445 24.273
3.70 3.718 21009.4 20373.6 119.631 1.897 118.71 60.1 793.7 827.379 24.014
3.75 3.768 21310.2 20666.7 119.618 1.922 118.68 60.2 795.5 817.577 23.762
3.80 3.818 21611.3 20960.0 119.605 1.948 118.65 60.2 797.3 808.021 23.518
3.85 3.868 21912.7 21253.7 119.592 1.974 118.62 60.3 799.0 798.708 23.281
3.90 3.918 22214.4 21547.5 119.578 2.000 118.59 60.4 800.8 789.631 23.050
3.95 3.968 22516.4 21841.7 119.565 2.026 118.56 60.4 802.5 780.772 22.826
4.00 4.018 22818.6 22136.1 119.552 2.051 118.53 60.5 804.2 772.132 22.609
4.05 4.068 23121.0 22430.8 119.538 2.077 118.50 60.5 805.9 763.701 22.397
4.10 4.118 23423.8 22725.7 119.524 2.103 118.47 60.6 807.6 755.475 22.191
4.15 4.168 23726.8 23020.9 119.511 2.129 118.44 60.6 809.3 747.441 21.990
4.20 4.218 24030.0 23316.3 119.497 2.155 118.40 60.7 811.0 739.587 21.795
4.25 4.268 24333.5 23612.0 119.484 2.181 118.37 60.7 812.7 731.905 21.605
4.30 4.318 24637.3 23907.9 119.470 2.206 118.34 60.8 814.3 724.394 21.420
4.35 4.368 24941.3 24204.1 119.456 2.232 118.30 60.8 816.0 717.068 21.240
4.40 4.418 25245.5 24500.5 119.442 2.258 118.26 60.9 817.6 709.901 21.065
4.45 4.468 25550.0 24797.1 119.428 2.284 118.23 60.9 819.3 702.903 20.894
4.50 4.518 25854.8 25094.0 119.414 2.310 118.19 61.0 820.9 696.063 20.727
4.55 4.568 26159.8 25391.1 119.400 2.336 118.15 61.0 822.6 689.382 20.565
4.60 4.618 26465.0 25688.5 119.386 2.361 118.11 61.1 824.2 682.850 20.406
4.65 4.668 26770.5 25986.1 119.371 2.387 118.07 61.1 825.9 676.465 20.252
4.70 4.718 27076.2 26284.0 119.357 2.413 118.03 61.2 827.5 670.227 20.101
